type,name,bloat,waste
table,public.conversion_events,1.2,936 kB
table,public.spatial_ref_sys,1.0,200 kB
table,public.monitoring_performance_metrics,1.1,24 kB
index,public.monitoring_performance_metrics::monitoring_performance_metric_metric_name_resource_name_rec_key,1.1,24 kB
table,public.cars,3.0,16 kB
index,public.bookings::idx_bookings_provider_split_payment_id,0.0,16 kB
index,public.cars::idx_cars_value_brl,2.0,8192 bytes
index,public.cars::idx_cars_value_usd,2.0,8192 bytes
index,public.cars::idx_cars_vin,2.0,8192 bytes
index,public.profiles::idx_profiles_onboarding,2.0,8192 bytes
index,public.profiles::idx_profiles_email,2.0,8192 bytes
index,public.profiles::idx_profiles_date_of_birth,2.0,8192 bytes
index,public.booking_inspections::unique_booking_stage,2.0,8192 bytes
index,public.accounting_accounts::accounting_accounts_code_key,2.0,8192 bytes
index,public.bookings::idx_bookings_availability,2.0,8192 bytes
index,public.bookings::idx_bookings_car_status_dates,2.0,8192 bytes
table,public.car_photos,2.0,8192 bytes
index,public.bookings::idx_bookings_distance_risk_tier,2.0,8192 bytes
index,public.bookings::idx_bookings_expires_at,2.0,8192 bytes
index,public.accounting_accounts::accounting_accounts_pkey,2.0,8192 bytes
index,public.bookings::idx_bookings_guarantee_type,2.0,8192 bytes
table,public.booking_inspections,2.0,8192 bytes
index,public.accounting_accounts::idx_accounting_accounts_parent_account_id,2.0,8192 bytes
index,public.accounting_ledger::accounting_ledger_pkey,2.0,8192 bytes
index,public.accounting_ledger::idx_accounting_ledger_journal_entry,2.0,8192 bytes
table,public.accounting_accounts,2.0,8192 bytes
index,public.vehicle_pricing_models::vehicle_pricing_models_pkey,2.0,8192 bytes
index,public.vehicle_pricing_models::idx_vehicle_pricing_models_year_range,2.0,8192 bytes
index,public.accounting_ledger::idx_accounting_ledger_user_id,2.0,8192 bytes
index,public.vehicle_pricing_models::idx_vehicle_pricing_models_model,2.0,8192 bytes
index,public.accounting_ledger::idx_ledger_account,2.0,8192 bytes
index,public.vehicle_pricing_models::idx_vehicle_pricing_models_category,2.0,8192 bytes
index,public.accounting_ledger::idx_ledger_date,2.0,8192 bytes
index,public.accounting_ledger::idx_ledger_period,2.0,8192 bytes
index,public.vehicle_pricing_models::idx_vehicle_pricing_models_brand_model,2.0,8192 bytes
index,public.cars::idx_cars_owner_id,2.0,8192 bytes
index,public.cars::idx_cars_price_range,2.0,8192 bytes
index,public.cars::idx_cars_status,2.0,8192 bytes
index,public.cars::idx_cars_transmission,2.0,8192 bytes
index,public.cars::idx_cars_uses_dynamic_pricing,2.0,8192 bytes
index,public.cars::idx_cars_value_ars,2.0,8192 bytes
index,public.cars::idx_cars_plate,2.0,8192 bytes
index,public.vehicle_pricing_models::idx_vehicle_pricing_models_brand,2.0,8192 bytes
index,public.bookings::idx_bookings_renter_status,2.0,8192 bytes
index,public.accounting_ledger::idx_ledger_reference,2.0,8192 bytes
index,public.vehicle_pricing_models::idx_vehicle_pricing_models_active,2.0,8192 bytes
index,public.booking_inspections::booking_inspections_pkey,2.0,8192 bytes
index,public.booking_inspections::idx_booking_inspections_booking,2.0,8192 bytes
index,public.profiles::profiles_pkey,2.0,8192 bytes
index,public.profiles::idx_profiles_rating_avg,2.0,8192 bytes
index,public.bookings::idx_bookings_status_dates,2.0,8192 bytes
index,public.car_models::car_models_brand_id_name_key,2.0,8192 bytes
index,public.car_models::car_models_pkey,2.0,8192 bytes
index,public.car_models::idx_car_models_brand_id,2.0,8192 bytes
index,public.car_models::idx_car_models_name,2.0,8192 bytes
index,public.car_photos::car_photos_pkey,2.0,8192 bytes
index,public.car_photos::idx_car_photos_car_id,2.0,8192 bytes
index,public.car_photos::idx_car_photos_sort_order,2.0,8192 bytes
index,public.cars::cars_pkey,2.0,8192 bytes
index,public.cars::idx_cars_active_status,2.0,8192 bytes
index,public.cars::idx_cars_auto_sync_enabled,2.0,8192 bytes
index,public.cars::idx_cars_brand_id,2.0,8192 bytes
index,public.cars::idx_cars_can_receive_payments,2.0,8192 bytes
index,public.cars::idx_cars_category_id,2.0,8192 bytes
index,public.cars::idx_cars_city,2.0,8192 bytes
index,public.cars::idx_cars_created_at,2.0,8192 bytes
index,public.cars::idx_cars_dynamic_pricing,2.0,8192 bytes
index,public.booking_inspections::idx_booking_inspections_stage,2.0,8192 bytes
index,public.cars::idx_cars_fipe_code,2.0,8192 bytes
index,public.cars::idx_cars_fuel,2.0,8192 bytes
index,public.profiles::idx_profiles_primary_goal,2.0,8192 bytes
index,public.cars::idx_cars_location_neighborhood,2.0,8192 bytes
index,public.cars::idx_cars_location_postal_code,2.0,8192 bytes
index,public.cars::idx_cars_model_id,2.0,8192 bytes
index,public.bookings::idx_bookings_metadata,1.5,8192 bytes
index,public.bookings::idx_bookings_authorized_payment,0.0,8192 bytes
