file,json_bytes,json_tokens,toon_bytes,toon_tokens,saved_percent
apps/web/angular.json,4646,973,3733,803,17.47
apps/web/dist/web/browser/assets/i18n/en.json,26098,7901,21568,6441,18.48
apps/web/dist/web/browser/assets/i18n/es.json,26098,7901,21568,6441,18.48
apps/web/dist/web/browser/assets/i18n/pt.json,26079,7944,21549,6472,18.53
apps/web/dist/web/prerendered-routes.json,18,7,18,7,0
apps/web/ngsw-config.json,4214,1263,2611,852,32.54
apps/web/src/assets/i18n/en.json,26098,7901,21568,6441,18.48
apps/web/src/assets/i18n/es.json,26098,7901,21568,6441,18.48
apps/web/src/assets/i18n/pt.json,26079,7944,21549,6472,18.53
apps/web/src/tsconfig.spec.json,199,63,192,63,0
docs/runbooks/uptimerobot-config-template.json,10304,2707,7975,2114,21.91
ionic.config.json,120,43,78,23,46.51
renovate.json,1142,319,991,310,2.82
scripts/samples/mp_payment_example.json,801,258,631,200,22.48
supabase/functions/import_map.json,237,101,203,87,13.86
supabase/functions/mercadopago-money-out/deno.json,36,9,36,9,0
supabase/functions/verify-user-docs/deno.json,62,19,62,19,0
supabase/functions/withdrawal-webhook/deno.json,63,19,63,19,0
test-results/results.json,31014,9438,25006,8280,12.27
test-results/summary.json,615,217,523,187,13.82
tests/extracted-selectors.json,190671,52248,128645,36547,30.05
tests/fixtures/availability/available-cars-response.json,964,338,595,201,40.53
tests/fixtures/availability/is-car-available-response.json,54,16,54,16,0
tests/fixtures/mp_payment_approved.json,307,117,231,86,26.5
tests/fixtures/mp_preference_approved.json,249,82,226,72,12.2
tests/selector-candidates.prioritized.json,75260,26580,48611,17981,32.35
tests/selector-map.json,7151,2522,6245,2282,9.52
turbo.json,245,72,261,68,5.56
