file,json_bytes,json_tokens,toon_bytes,toon_tokens,saved_percent
functions/workers/ai-car-generator/package-lock.json,50978,20320,43745,18359,9.65
functions/workers/ai-car-generator/package.json,578,184,466,145,21.2
functions/workers/ai-car-generator/tsconfig.json,482,146,475,153,-4.79
functions/workers/doc-verifier/package-lock.json,59568,23675,50802,21289,10.08
functions/workers/doc-verifier/package.json,567,183,455,147,19.67
functions/workers/doc-verifier/tsconfig.json,375,114,348,111,2.63
functions/workers/google-calendar-sync/package.json,610,195,491,159,18.46
functions/workers/google-calendar-sync/tsconfig.json,448,135,443,145,-7.41
functions/workers/payments_webhook/package-lock.json,74175,29441,63910,26680,9.38
functions/workers/payments_webhook/package.json,586,209,446,171,18.18
scripts/samples/mp_payment_example.json,801,258,631,200,22.48
supabase/functions/import_map.json,237,101,203,87,13.86
supabase/functions/mercadopago-money-out/deno.json,36,9,30,8,11.11
supabase/functions/verify-user-docs/deno.json,62,19,47,13,31.58
supabase/functions/withdrawal-webhook/deno.json,63,19,48,13,31.58
tests/extracted-selectors.json,190671,52248,128645,36547,30.05
tests/fixtures/availability/available-cars-response.json,964,338,595,201,40.53
tests/fixtures/availability/is-car-available-response.json,54,16,58,18,-12.5
tests/fixtures/mp_payment_approved.json,307,117,231,86,26.5
tests/fixtures/mp_preference_approved.json,249,82,226,72,12.2
tests/selector-candidates.prioritized.json,75260,26580,48611,17981,32.35
tests/selector-map.json,7151,2522,6245,2282,9.52
